"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","IMT12D2001AP-Buzzer","Buzzer_Beeper:MagneticBuzzer_ProSignal_ABT-410-RC",""
"2","C1","1","330uF / 50V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"3","C2, C3","2","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"4","D2","1","1N5401","Diode_THT:D_DO-201AD_P15.24mm_Horizontal",""
"5","D3","1","Zener_3.3V","Diode_THT:D_5W_P10.16mm_Horizontal",""
"6","D4","1","LED","LED_THT:LED_D3.0mm",""
"7","F1","1","Fuse_3A","Fuse:Fuse_Littelfuse-LVR100",""
"8","J1, J4, J6, J8, J9","5","Conn_01x02_Pin","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"9","J2","1","Conn_01x03_Pin","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",""
"10","J3","1","Conn_01x08_Pin","Connector_JST:JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",""
"11","J5","1","Conn_01x04_Pin","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",""
"12","J7","1","Conn_01x06_Pin","Connector_JST:JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical",""
"13","Q2, Q3","2","NPN","Package_TO_SOT_THT:TO-92L_Inline_Wide_ECB",""
"14","R1, R4, R7, R9, R12","5","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R2","1","75k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R3, R6, R8, R13, R14","5","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R5, R11","2","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","R10, R16, R17, R18","4","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"19","U1","1","NUCLEO-F401RE","Module:ST_NUCLEO-F401RE",""
"20","U2","1","MCP4922-EP","Package_DIP:DIP-14_W7.62mm_Socket",""
"21","U3","1","367661","Connector_Pin:MAXON_DRV",""
"22","U4","1","24LC512","Package_DIP:DIP-8_W7.62mm_Socket",""
"23","U5","1","SZH-PWSD-026","Symbol:DCDC_SZH-PWSD-026",""
