"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","Buzzer","Buzzer_Beeper:MagneticBuzzer_ProSignal_ABT-410-RC",""
"2","C1","1","330uF / 50V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"3","C2, C3","2","100nF","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm",""
"4","D1","1","Zener_12V","Diode_THT:D_5W_P10.16mm_Horizontal",""
"5","D2","1","1N5401","Diode_THT:D_DO-201AD_P15.24mm_Horizontal",""
"6","D3","1","Zener_3.3V","Diode_THT:D_5W_P10.16mm_Horizontal",""
"7","D4","1","LED","LED_THT:LED_D3.0mm",""
"8","F1","1","Fuse_3A","Fuse:Fuse_Littelfuse-LVR100",""
"9","J1, J4, J6, J8, J9","5","Conn_01x02_Pin","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"10","J2","1","Conn_01x03_Pin","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",""
"11","J3","1","Conn_01x08_Pin","Connector_JST:JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",""
"12","J5","1","Conn_01x04_Pin","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",""
"13","J7","1","Conn_01x06_Pin","Connector_JST:JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical",""
"14","Q1, Q2, Q3","3","PNP","Package_TO_SOT_THT:TO-92",""
"15","R1, R5, R11","3","330","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"16","R2","1","75k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"17","R3, R6, R7, R8, R13, R14","6","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"18","R4, R9, R12","3","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"19","R10, R16, R17, R18","4","4.7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"20","U1","1","NUCLEO-F401RE","ST_NUCLEO-F401RE",""
"21","U2","1","MCP4922-EP","Package_DIP:DIP-14_W7.62mm_Socket",""
"22","U3","1","~","Connector_Pin:MAXON_DRV",""
"23","U4","1","24LC512","Package_DIP:DIP-8_W7.62mm_Socket",""
